"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1782341790387024361","Mon Apr 22 09:32:51 +0000 2024","0","Selamat utk Bpk Prabowo @prabowo &amp; Mas Gibran @gibran_tweet semoga mampu membawa Indonesia menjadi Negara yg Kuat &amp; benar2 Sejahtera secara adil &amp; merata Terima kasih utk Bpk Ganjar @ganjarpranowo &amp; Bpk Mahfud MD @mohmahfudmd beserta tim atas partisipasinya di Pilpres 2024","1782341790387024361","","","in","Indonesia","0","0","0","https://twitter.com/ekanzoy/status/1782341790387024361","71522275","ekanzoy"
"1782324749810766125","Mon Apr 22 09:32:43 +0000 2024","0","@idextratime Apanya yg kejutan MK yg lolosin gibran masa mau digagalkan","1782341756228690076","","idextratime","in","Tanah Haram Makkah","0","0","0","https://twitter.com/ian_atharizz/status/1782341756228690076","1604486796838342656","ian_atharizz"
"1782341720228626523","Mon Apr 22 09:32:35 +0000 2024","0","Capres nomor urut 3 Ganjar terima putusan MK. Dia ucapkan selamat pada Prabowo-Gibran dan sebut banyak pekerjaan rumah menanti ke depan https://t.co/C31AAaesH8","1782341720228626523","","","in","Jakarta","0","0","0","https://twitter.com/kompascom/status/1782341720228626523","23343960","kompascom"
"1782341716240105662","Mon Apr 22 09:32:34 +0000 2024","0","Gibran Janji Pemerataan Pembangunan agar Tidak Jawa Sentris https://t.co/PyK2Qa0zQS","1782341716240105662","","","in","","0","0","0","https://twitter.com/bisnisbandung63/status/1782341716240105662","1690969676287983616","bisnisbandung63"
"1782341695339683877","Mon Apr 22 09:32:29 +0000 2024","0","4 kata lucu: Pencalonan Gibran bukan nepotisme","1782341695339683877","","","in","Indonesia","0","0","0","https://twitter.com/vevelynnnn/status/1782341695339683877","1191227485687443456","vevelynnnn"
"1782341693968425388","Mon Apr 22 09:32:28 +0000 2024","0","*SAH SUDAH KEPUTUSAN MK * *PRABOWO Presiden RI dan GIBRAN Wakil Presiden RI ke-8 2024 sampai dengan 2029.* #PrabowoGibran #prabowo #IndonesiaMaju https://t.co/t9n0PfbO9p","1782341693968425388","https://pbs.twimg.com/media/GLwmUyzb0AANfmc.jpg","","in","","0","0","0","https://twitter.com/ChantiqueNews/status/1782341693968425388","1641703811717922816","ChantiqueNews"
"1782283061243330993","Mon Apr 22 09:32:28 +0000 2024","0","@newjeansisdead @YovieFardi2 @TheEagle_BEN @prabowo @gibran_tweet Iyahh (lagi) cil siapp..","1782341693846802701","","newjeansisdead","in","в твоих мыслях","0","0","0","https://twitter.com/MalesinBangetLo/status/1782341693846802701","1529319739759431680","MalesinBangetLo"
"1782341690931757302","Mon Apr 22 09:32:28 +0000 2024","0","SELEBRASI!!! Kuasa Hukum Prabowo-Gibran Hotman Paris joget gemoy usai gugatan Anies-Muhaimin &amp; Ganjar-Mahfud perihal sengketa pemilu ditolak. Video: ERA/Ghulam https://t.co/6a0P3ZAmbi","1782341690931757302","https://pbs.twimg.com/amplify_video_thumb/1782341630064050176/img/d3n2d_FcRjyNI7cV.jpg","","in","Jakarta Capital Region","0","0","0","https://twitter.com/eradotid/status/1782341690931757302","903229236051247104","eradotid"
"1782318893794828660","Mon Apr 22 09:32:27 +0000 2024","0","@Dahnilanzar @prabowo @gibran_tweet @aniesbaswedan @cakimiNOW @ganjarpranowo @mohmahfudmd Insyaallah semakin kuat Malu ","1782341689748983856","","Dahnilanzar","in","","0","0","0","https://twitter.com/CakyoPurno74042/status/1782341689748983856","1748246129794498560","CakyoPurno74042"
"1782341646212071870","Mon Apr 22 09:32:17 +0000 2024","0","Sisi Lain Putusan MK hari ini inilah nama-nama di Tim Hukum Prabowo - Gibran https://t.co/zcRZQVuIk3 #SidangMK #sidangputusanmk #beritaterkini #beritaterbaru","1782341646212071870","","","in","Balikpapan, Indonesia","0","0","0","https://twitter.com/tribunkaltim/status/1782341646212071870","103551225","tribunkaltim"
"1782299833635852376","Mon Apr 22 09:32:13 +0000 2024","0","@Ayang_Hyang01 @officialMKRI putusan diambil oleh delapan hakim konstitusi. adapun Anwar Usman tidak dilibatkan dalam persidangan lantaran dinilai memiliki konflik kepentingan dengan Gibran Rakabuming Raka yang merupakan keponakan istrinya. yang sabar bu xixixi","1782341631209050339","","Ayang_Hyang01","in","Ciumbuleuit","0","0","0","https://twitter.com/kanjutcrispy/status/1782341631209050339","835895770159034368","kanjutcrispy"
"1782341624867291399","Mon Apr 22 09:32:12 +0000 2024","0","Dalam pertimbangan hukumnya MK menilai dalil-dalil yang disampaikan pasangan Anies-Muhaimin tidak beralasan menurut hukum. Dalil-dalil tersebut antara lain mengenai pencalonan Gibran Rakabuming Raka yang tidak sah...... #Pemilu2024 #SidangMK https://t.co/0Lsysd7MOX","1782341624867291399","","","in","Jakarta, Indonesia","0","0","0","https://twitter.com/beritaKBR/status/1782341624867291399","124390203","beritaKBR"
