full_text,cleaned-texts,stemmed-texts,tokenized-texts,pre-process,sentiment_score,sentiment
"@idextratime ANIES TEGA NANYAIN SOAL PERLINDUNGAN PEREMPUAN KE PRABOWO  LHA WONG PRABOWO AJA GA MELINDUNGI ISTRINYA, MALAH DIPEGAT NOOHHH TITIEK", idextratime anies tega nanyain soal perlindungan perempuan ke prabowo  lha wong prabowo aja ga melindungi istrinya  malah dipegat noohhh titiek,idextratime anies tega nanyain soal lindung perempuan ke prabowo lha wong prabowo aja ga lindung istri malah pegat noohhh titiek,,idextratime anies tega nanyain soal lindung perempuan ke prabowo lha wong prabowo aja ga lindung istri malah pegat noohhh titiek,-6,Negatif
Pertanyan pak anies soal perlindungan kepada perempuan di jawab sendiri oleh pak anies 😔,pertanyan pak anies soal perlindungan kepada perempuan di jawab sendiri oleh pak anies  ,pertanyan pak anies soal lindung kepada perempuan di jawab sendiri oleh pak anies,,pertanyan pak anies soal lindung kepada perempuan di jawab sendiri oleh pak anies,7,Positif
Rugi sih klo pak anies ga naik,rugi sih klo pak anies ga naik,rugi sih klo pak anies ga naik,,rugi sih klo pak anies ga naik,-4,Negatif
wkwk pa anies sblm nanya ke pa prabowo senyam senyumnya serem bgt,wkwk pa anies sblm nanya ke pa prabowo senyam senyumnya serem bgt,wkwk pa anies sblm nanya ke pa prabowo senyam senyum rem bgt,,wkwk pa anies sblm nanya ke pa prabowo senyam senyum rem bgt,2,Positif
ANJIRRR FINALLY PAK ANIES NGOMONGNYA LEWAT WAKTU WALAU CMA TERIMA KASIH DOANG WKAKAKAKKAKAKA 🔥🔥🔥🔥🔥🔥 https://t.co/VuaFCcpQU3,anjirrr finally pak anies ngomongnya lewat waktu walau cma terima kasih doang wkakakakkakaka        https   t co vuafccpqu3,anjirrr finally pak anies ngomongnya lewat waktu walau cma terima kasih doang wkakakakkakaka https t co vuafccpqu3,,anjirrr finally pak anies ngomongnya lewat waktu walau cma terima kasih doang wkakakakkakaka https t co vuafccpqu3,-4,Negatif
yaAllah Anies ngomong akan menindak kekerasan perempuan termasuk sejak catcalling gue pengen nangis sedetik,yaallah anies ngomong akan menindak kekerasan perempuan termasuk sejak catcalling gue pengen nangis sedetik,yaallah anies ngomong akan tindak keras perempuan masuk sejak catcalling gue ken nang detik,,yaallah anies ngomong akan tindak keras perempuan masuk sejak catcalling gue ken nang detik,7,Positif
"Pak anies tadi udah ngejelasin da, naha ai pak prabowo jawabannya tidak nyambung:(",pak anies tadi udah ngejelasin da  naha ai pak prabowo jawabannya tidak nyambung  ,pak anies tadi udah ngejelasin da naha ai pak prabowo jawab tidak nyambung,,pak anies tadi udah ngejelasin da naha ai pak prabowo jawab tidak nyambung,-3,Negatif
tadi pak anies kurang tegas,tadi pak anies kurang tegas,tadi pak anies kurang tegas,,tadi pak anies kurang tegas,1,Positif
Pak Anies jangan tanya soal perempuan ke Pak Prabowo  dia aja ga punya istri hehehehe,pak anies jangan tanya soal perempuan ke pak prabowo  dia aja ga punya istri hehehehe,pak anies jangan tanya soal perempuan ke pak prabowo dia aja ga punya istri hehehehe,,pak anies jangan tanya soal perempuan ke pak prabowo dia aja ga punya istri hehehehe,0,Netral
W jadi percaya anies ganjar dah janjian 😭😭😭,w jadi percaya anies ganjar dah janjian    ,w jadi percaya anies ganjar dah janji,,w jadi percaya anies ganjar dah janji,8,Positif
catcalling bukan hal yang disepelekan (parafrase) -anies baswedan,catcalling bukan hal yang disepelekan  parafrase   anies baswedan,catcalling bukan hal yang sepele parafrase anies baswedan,,catcalling bukan hal yang sepele parafrase anies baswedan,-1,Negatif
pak anies ngomongin perlindungan perempuan gua mau nangisss :(((,pak anies ngomongin perlindungan perempuan gua mau nangisss     ,pak anies ngomongin lindung perempuan gua mau nangisss,,pak anies ngomongin lindung perempuan gua mau nangisss,5,Positif
pak anies aware sampe ke masalah cat-calling juga,pak anies aware sampe ke masalah cat calling juga,pak anies aware sampe ke masalah cat calling juga,,pak anies aware sampe ke masalah cat calling juga,-1,Negatif
