created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Feb 04 15:18:36 +0000 2024;1754162547417337906;"My mom suddenly told me kalau tetanggaku yg udah sepuh, seorang penjual di pasar blg ke keluargaku tiba2 "besok pemilu pilih pak anis ya, orgnya santun"  Dan reaksi mamaku cm blg "bahkan mbah itu aja tau kl yg bener pilih anis"  Padahal gue gak lagi ngomongin pemilu heiiii";0;0;0;0;in;981785716043595777;1754162547417337906;jaesyongie;https://twitter.com/jaesyongie/status/1754162547417337906
Sun Feb 04 15:18:36 +0000 2024;1754162544925958630;"@pinkybunny_ @HojlundSiregar @_mardial_ Emg gatau konsep pemilu. Diundang, undang emg kondangan. Sebelum dipilih rakyat, diusung Gerindra. Astaga. Muter aja gak paham paham";0;0;0;0;in;1680271008379584513;1753793619033719022;emynazn;https://twitter.com/emynazn/status/1754162544925958630
Sun Feb 04 15:18:34 +0000 2024;1754162539875946942;"Tutup Debat Capres Pamungkas, Prabowo Minta Maaf ke Anies-Cak Imin dan Ganjar-Mahfud https://t.co/VhWTsk4jKQ #Pemilu";0;0;0;0;in;47596019;1754162539875946942;liputan6dotcom;https://twitter.com/liputan6dotcom/status/1754162539875946942
Sun Feb 04 15:18:12 +0000 2024;1754162445080506614;"enough pemilu tweet, kembali menjadi incel";0;0;0;0;in;2940691843;1754162445080506614;ombakcherry;https://twitter.com/ombakcherry/status/1754162445080506614
Sun Feb 04 15:18:06 +0000 2024;1754162421131002142;"@bitenoexcuse Pemilu : dijepit memiaw sampe ngilu";0;0;0;0;in;1479502678203912197;1754137205084402132;CoenDan;https://twitter.com/CoenDan/status/1754162421131002142
Sun Feb 04 15:18:05 +0000 2024;1754162418450887129;"@ILCTalkshow Pak Anies Baswedan terbaik ,,layak utk di pilih...semoga menang dlm pemilu 2024";0;0;0;0;in;822273733133877250;1754157367145738335;Felix777A2K;https://twitter.com/Felix777A2K/status/1754162418450887129
Sun Feb 04 15:18:04 +0000 2024;1754162413698744545;"Wajar sih kenapa yg dibawa "makan gratis" terus. Karena memang menurut FAO 2021 aja 68% penduduk kita ga mampu memenuhi kebutuhan makanan bergizi. 68% loh, cukup untuk menangin pemilu 1 putaran. Walaupun di satu sisi ironis, pemimpin terpilih karena rakyatnya kelaparan.";0;0;0;0;in;265895270;1754162413698744545;tgumelar5;https://twitter.com/tgumelar5/status/1754162413698744545
Sun Feb 04 15:17:58 +0000 2024;1754162386049917084;"Sudahlah.. meme ini telah tersimpan dan saya pake selama 3 periode pemilu. saya berharap ini yg terakhir..  Untuk Ganjar Pranowo 🤟🇮🇩 https://t.co/3L0fsBeapS";0;0;1;0;in;533176006;1754162386049917084;by_uAsmaradhana;https://twitter.com/by_uAsmaradhana/status/1754162386049917084
Sun Feb 04 15:17:57 +0000 2024;1754162381679440226;"Tokoh yg paling adem selama pemilu ini, copras capres ini adalah Wishnutama ye.. siapapun presiden nya nanti, EO nya tetap doi buat acara2 besar kenegaraan.. 😂😂";0;0;0;0;in;100980440;1754162381679440226;iqbalto;https://twitter.com/iqbalto/status/1754162381679440226
Sun Feb 04 15:17:56 +0000 2024;1754162379510951966;"@bubblefrappe betuls, pemilu tuh luberjurdil ga sihh kalo diskusi dan memberi insight ayok tapi maksa milih 1 paslon janganlah 😔🙏🏻";0;0;0;0;in;1137761671496101888;1754159463723090419;blueedaivy;https://twitter.com/blueedaivy/status/1754162379510951966
Sun Feb 04 15:17:56 +0000 2024;1754162378781122790;"Lah emang yg pemilu kemaren2 presidennya gimana emang??!! Aneh2 ajadah😭😭😭";0;0;0;0;in;226489525;1754162378781122790;xbrnaulia;https://twitter.com/xbrnaulia/status/1754162378781122790
Sun Feb 04 15:17:47 +0000 2024;1754162340856267261;"Emang politik itu gak usah dibahas sama temen, karena kemaren gue pergi sama temen, tbtb bahas pemilu, dia nyeletuk 'aku gatau mau milih siapa, tapi yg pasti bukan x' gue yg lagi nyetir cuman diem sambil batin, 'gak usah dibales soalnya calon yg kita kecualikan udah beda' 😅😅";0;0;0;0;in;1511948168472436738;1754162340856267261;Sapiramyeon;https://twitter.com/Sapiramyeon/status/1754162340856267261
Sun Feb 04 15:17:43 +0000 2024;1754162325249294469;"SUMPAH INI SIH THE REAL PEMILU DAMAAII HUHU KEREN";0;0;0;0;in;1508022671740575747;1754162325249294469;kayadabauapagt;https://twitter.com/kayadabauapagt/status/1754162325249294469
Sun Feb 04 15:17:43 +0000 2024;1754162323659629011;"Btw selain sama teman2 rl, aku juga suka deh suasana ngomongin politik antara mutual ava kpop. Aku punya asumsi ava kpop tuh termasuk yg peka dan cerdas menanggapi pemilu krna terbiasa digging info, investigate teori comeback dari sumber sumber yg bukan bahasa dan budaya kita 😂";0;0;0;0;in;1150701594037456898;1754162323659629011;dnskdn_;https://twitter.com/dnskdn_/status/1754162323659629011
Sun Feb 04 15:17:42 +0000 2024;1754162319523983704;"Strokenya Prabowo itu kayak alarm yang sering berbunyi, tapi dia tetap nekat ikut pemilu tanpa peduli dengan kesehatannya sendiri @Sobatshantuy ASAL BUKAN PRABOWO #WaktunyaPrabowoGibran #debatcapres2024 https://t.co/ozESdHEw8d https://t.co/njnVWm3ZhY";0;0;0;0;in;1716306392976687104;1754162319523983704;AishaNatha;https://twitter.com/AishaNatha/status/1754162319523983704
Sun Feb 04 15:17:30 +0000 2024;1754162269238510035;"@JO1addict Arghhhhh makin dekat pemilu malah makin bingung mau nyoblos siapa";0;1;0;0;in;1644789793;1754150414281498896;Miullians;https://twitter.com/Miullians/status/1754162269238510035
Sun Feb 04 15:17:29 +0000 2024;1754162266344395226;"Dr Strange, bilang Coblos AMIN#1  Yuk ☺️ di pemilu 14 Februari 2024 jangan golput yah.. https://t.co/06ntoSInGf";0;0;0;0;in;1649056796877918211;1754162266344395226;beritanyaaa;https://twitter.com/beritanyaaa/status/1754162266344395226
Sun Feb 04 15:17:28 +0000 2024;1754162261462266201;"@fairbourne_ Pemilu date juga gak Oyis";0;0;0;0;in;870368889095335936;1754159780812492853;sk8ersim;https://twitter.com/sk8ersim/status/1754162261462266201
Sun Feb 04 15:17:25 +0000 2024;1754162247851806975;"Personel Polsek Jajaran Polres Kaur melaksanakan tugas rutin di hari Minggu dengan  menyambangi masyarakat untuk memberikan himbauan kamtibmas menjelang pelaksanaan Pemilu tahun 2024,patroli dan sambang yang dilakukan personel dilanjutkan dengan kegiatan Minggu Kasih https://t.co/Suj9XIKxsc";0;0;0;0;in;1448836705859952641;1754162247851806975;HumaspolresKaur;https://twitter.com/HumaspolresKaur/status/1754162247851806975
Sun Feb 04 15:17:21 +0000 2024;1754162232655786009;"pemilu itu m-nya mpreg tah";0;0;0;0;in;43897705;1754162232655786009;jilansy;https://twitter.com/jilansy/status/1754162232655786009
Sun Feb 04 15:17:20 +0000 2024;1754162226326581488;"SPECIAL EVENT PEMILU 2024 TRANSMEDIA  Program Spesial : PESTA RAKYAT MENANTIKAN PRESIDEN BARU Rabu,14 Februari | 13.00 WIB LIVE  Program Spesial : CNN INDONESIA PROJECTION : WHO’S THE NEXT PRESIDENT? (Quick Count) Rabu,14 Februari | 15.00 WIB LIVE #debatcapres2024  @andi_chairil";0;0;0;0;in;450438170;1754162226326581488;Raka_HI12;https://twitter.com/Raka_HI12/status/1754162226326581488
Sun Feb 04 15:17:06 +0000 2024;1754162169799954871;"fear mongering soal prabowo kepilih bakal jadi pemilu terakhir/jadi negara diktator sama aja kaya fear mongering anies kepilih gubernur jakarta bakal jadi kota syariah";0;0;0;0;in;1742463404231753728;1754162169799954871;onchainproof;https://twitter.com/onchainproof/status/1754162169799954871
Sun Feb 04 15:17:04 +0000 2024;1754162161528783162;"Gegara pemilu, jd keluar semua tuh sifat asli semua orang wkwk Just enjoy the show bruh";0;0;0;0;in;1099535287363854336;1754162161528783162;Jjyachan;https://twitter.com/Jjyachan/status/1754162161528783162
Sun Feb 04 15:17:04 +0000 2024;1754162159305863225;"jacket covernya pas pemilu anying 😭";0;0;0;0;in;1197870408940179456;1754162159305863225;beaungie;https://twitter.com/beaungie/status/1754162159305863225
Sun Feb 04 15:16:43 +0000 2024;1754162072068538764;"@sipanverse cukup sekian meme hari ini, simpan utk pemilu";0;0;0;0;in;1373483004555718658;1754152504185806852;tq3illl;https://twitter.com/tq3illl/status/1754162072068538764
Sun Feb 04 15:16:41 +0000 2024;1754162062245396757;"@tvOneNews pemilu di Indonesia sdh ada pemenangnya sebelum di gelar...rakyat hrs lawan";0;0;0;0;in;147810035;1752889656662991087;RajaTeluk;https://twitter.com/RajaTeluk/status/1754162062245396757
Sun Feb 04 15:16:40 +0000 2024;1754162059821150294;"@G4b0nGOKU Di pemilu yg akan dtg jangan pilih para anggota dewan yg sekarang sedang manggung, agar semua ada perbaikan...begitu pula memilih capresnya agar orang yg mau berkomitmen utk rakyat &amp  bukan utk partai &amp  pendukung atw keluarganya...semoga kali ini rakyat lebih cerdas🇮🇩";0;0;0;0;in;1111256853168586757;1754044840189493311;Kusumah94841006;https://twitter.com/Kusumah94841006/status/1754162059821150294
Sun Feb 04 15:16:39 +0000 2024;1754162053680623663;"Emg jadi pemilu ya?";0;0;0;0;in;1013597861689192449;1754162053680623663;ilhamiqs;https://twitter.com/ilhamiqs/status/1754162053680623663
Sun Feb 04 15:16:38 +0000 2024;1754162050052522390;"masih ada 10 hari lagi menjelang pemilu yukkk LETS CHOOSE WISELY :-)";0;0;0;0;in;1549923145674473472;1754162050052522390;aphrodoiete;https://twitter.com/aphrodoiete/status/1754162050052522390
Sun Feb 04 15:16:37 +0000 2024;1754162049125699725;"Pemilu 2024 sudah selesai sebelum pencoblosan. Mending sekarang cari dan poles calon presiden berikutnya untuk dibawa ke arena debat capres seperti #debatcapres2024 ini. Supaya nggak "ngak ngik nguk" di podium debat.";0;0;0;0;in;1414977911715553282;1754162049125699725;banggolambing;https://twitter.com/banggolambing/status/1754162049125699725
Sun Feb 04 15:16:33 +0000 2024;1754162032381964770;"Cape eug Cepetan pemilu deh, tiap buka X yg diributin 1,2,3 moloooo hhh";0;0;0;0;in;1491386088706871298;1754162032381964770;byuti_puuul;https://twitter.com/byuti_puuul/status/1754162032381964770
Sun Feb 04 15:16:33 +0000 2024;1754162028879773718;"semoga indonesia dpt pemimpin yang baik di pemilu kali ini amin";0;0;0;0;in;3005544463;1754162028879773718;inkhs__;https://twitter.com/inkhs__/status/1754162028879773718
Sun Feb 04 15:16:26 +0000 2024;1754162002786931057;"@normesque thanks man. ni berdasarkan pengalaman dan pengamatan aku yang terakru juga. btw kau tengok debat capres pemilu tak tadi?";0;0;0;0;in;494146800;1754153591710069087;syhmihirn;https://twitter.com/syhmihirn/status/1754162002786931057
Sun Feb 04 15:16:24 +0000 2024;1754161992364138735;"@ProgJoki GAS PEMILU 5 taun sekali. Utarakan semua aspirasi. Karena yang susah nanti pas salah pilih presiden ya kamu bukan followers mu yang keberisikan sama opini kita wkwk";0;0;0;0;in;146363708;1754131949453820194;nirojiim;https://twitter.com/nirojiim/status/1754161992364138735
Sun Feb 04 15:16:21 +0000 2024;1754161980041314416;"@rexy_fernando21 @dayatpiliang Kak, salah satu alasan untuk pemilu kali ini aku tdk mendukung pak Prabowo itu ya ini  Dari penyampaian visi misi terlihat jelas dari tatapan beliau, kalau beliau itu lelah   Terus ada video yg rame d tiktok, setelah kampanye akbar di panggung, kelihatan kalau beliau itu cape";0;0;0;0;in;1289855367631892480;1754145076014657570;Bucinseokjin__;https://twitter.com/Bucinseokjin__/status/1754161980041314416
Sun Feb 04 15:16:18 +0000 2024;1754161968804696167;"@ainaaineu @UGM_FESS 03 berani speak up isu² karena udh beda haluan, coba sender berpikir selama ini beliau mengkritisi gak bansos pemberian Presiden? bukan menjelang Pemilu*";0;0;0;0;in;1424573456029347840;1754158786703765760;firman__nurhuda;https://twitter.com/firman__nurhuda/status/1754161968804696167
Sun Feb 04 15:16:08 +0000 2024;1754161924617765314;"Adu gagasan, debat yg perlu didebat tuh seru, liat update-an orng yg benerin hal2 yg salah tuh juga enak bacanya. Yg gw males tuh kalo udah masuk ke sindir menyindir jir males bgt sumpah demi apapun. Makanya gw banyak mute mutuals disini atau matiin retweet selama pemilu, maaf 😞";0;0;0;0;in;1479655747;1754161924617765314;jougiou;https://twitter.com/jougiou/status/1754161924617765314
Sun Feb 04 15:16:06 +0000 2024;1754161916371718362;"Pemuda Sriwijaya Riau dan Paguyuban Sumbagsel Deklarasikan Dukungan untuk Prabowo - Gibran https://t.co/Fje2aV8Cb6 #Pemilu_2024";0;0;0;0;in;1632918924;1754161916371718362;GoRiauCom;https://twitter.com/GoRiauCom/status/1754161916371718362
Sun Feb 04 15:16:04 +0000 2024;1754161908985594188;"Capres ajaib ala Prabowo: strokenya kerja keras ikut pemilu @smbtct_ ASAL BUKAN PRABOWO #WaktunyaPrabowoGibran #debatcapres2024 https://t.co/98mXv74GdR https://t.co/6VNkXkVZt2";0;0;0;0;in;1713089624883822592;1754161908985594188;algazaliifauz;https://twitter.com/algazaliifauz/status/1754161908985594188
Sun Feb 04 15:16:01 +0000 2024;1754161895391789309;"Belum tentu orang kayak pak Anies ada di pemilu tahun depan. Tahun kemarin saya golput karena dari kedua paslon ga ada yg menarik dan cocok buat saya. Baru kali ini aja saya tertarik. Entah kalau ga ada pak Anies mungkin saya ga akan antusias sekali. Semoga jadi ya Pak. Aamiin.";0;0;0;0;in;1633843472502509573;1754161895391789309;mhmdambayt;https://twitter.com/mhmdambayt/status/1754161895391789309
Sun Feb 04 15:15:59 +0000 2024;1754161888718725353;"YA ALLAH MAKASIH UDAH DIKASIH KESEMPATAN BUAT NGERASAIN KESERUAN HURU-HARA PEMILU PRESIDEN YA ALLAH. INI PERTAMA KALI NYA AKU NYOBLOS SEMOGA GAK SALAH PILIH DAN NEGARAKU GAK ANCUR☹️";0;0;0;0;in;1364115010864095232;1754161888718725353;sunghoonizme;https://twitter.com/sunghoonizme/status/1754161888718725353
Sun Feb 04 15:15:46 +0000 2024;1754161835149013434;"pak wowo ngindarin pertanyaan wartawan nih takut nambah masalah yaaa krn udh deket pemilu?😂  #debatcapres2024";0;0;0;0;in;1608458955369639938;1754161835149013434;bristlelalala;https://twitter.com/bristlelalala/status/1754161835149013434
Sun Feb 04 15:15:43 +0000 2024;1754161819202240804;"Nah Ini .. udahan pilpres &amp  pemilu turun labrak dpr &amp  lantang bersuara lah para guru besar &amp  semuanya ..";0;0;0;0;in;59960867;1754161819202240804;konstatir;https://twitter.com/konstatir/status/1754161819202240804
Sun Feb 04 15:15:40 +0000 2024;1754161808838193290;"pemilu war tiket bobret streaming donghyuk solo https://t.co/uQeqrj8Uyv";0;0;0;1;in;1378230069290672129;1754161808838193290;ikonawz;https://twitter.com/ikonawz/status/1754161808838193290
Sun Feb 04 15:15:38 +0000 2024;1754161799287738559;"Cegah gangguan pada tahapan pemilu, Polsek Padangbai gelar Blue Light Patrol secara intensif.   ( selengkapnya di fb Humaspadangbai  )  @spripim.polri  @divisihumaspolri https://t.co/QePeN9H4pU";0;0;0;0;in;1603258449478881280;1754161799287738559;p_padangbai;https://twitter.com/p_padangbai/status/1754161799287738559
Sun Feb 04 15:15:35 +0000 2024;1754161786893611039;"Keberhasilan Pemilu 2024 sangat tergantung pada pentingnya menjaga netralitas TNI, Polri, ASN, dan BIN.  Mari bersama-sama membangun masa depan yang kuat, didasarkan pada nilai-nilai demokrasi dan keberagaman sebagai kekayaan bangsa https://t.co/Jd6ocqKFHE";0;0;0;1;in;1742558127210270720;1754161786893611039;ksatriayono;https://twitter.com/ksatriayono/status/1754161786893611039
Sun Feb 04 15:15:33 +0000 2024;1754161777548702182;"Kenapa for you page gw isinya twit buzzer pemilu semua dah";0;0;0;0;in;4245318792;1754161777548702182;korachibo;https://twitter.com/korachibo/status/1754161777548702182
Sun Feb 04 15:15:26 +0000 2024;1754161750776148332;"Knp gua mulai aware sm pemilu tahun ini? Karena in my 20s yg mana usia terbaik tuh bakalan dihiasi sm paslon selanjutnya. Makanya yg menurut gue cocok ya gaskeun. Kalau menurut orang beda ya bodo amat kan itu pilihan dia. Selow ajeee";0;1;0;0;in;1140190281737785344;1754114754195632188;aldezza;https://twitter.com/aldezza/status/1754161750776148332
Sun Feb 04 15:15:26 +0000 2024;1754161750273102277;"jujur awal2 w gamau nyinggung politik sm sekali krn ngerasa bacot bgt 😅 tapi w rasa w terlalu tone deaf kalo mikir ky gitu terus, namany jg pemilu presiden, wajar lah dibicarain dmn2. atas ilmu padiny, mmg apotek slalu tutup 🔥🔥";0;0;0;0;in;1400104665497227266;1754161745088991529;overaphrodite;https://twitter.com/overaphrodite/status/1754161750273102277
