full_text,cleaned-texts,stemmed-texts,pre-process,sentiment_score,sentiment
@NurJann53781736 @SenderLabs Jangan gitu bang doanya yg baik2 aja karena aman kembali ke kita, nurjann53781736  senderlabs jangan gitu bang doanya yg baik2 aja karena aman kembali ke kita,nurjann53781736 senderlabs jangan gitu bang doa yg baik2 aja karena aman kembali ke kita,nurjann53781736 senderlabs jangan gitu bang doa yg baik2 aja karena aman kembali ke kita,-7.0,Negatif
@JohnnyS2123 @Gerindra @yusufagro @prabowo @gibran_tweet @BANGSAygSUJUD @Chavesz08 @AditBandit234 @Kenikir27 @AnisHectorium @AlmaghribiS @askencana @Papa_Brewook Masak pak Prabowo belain 1 orang yang berpotensi merugikan bangsa mengabaikan puluhan juta pendukungnya yang cinta bangsa, johnnys2123  gerindra  yusufagro  prabowo  gibran tweet  bangsaygsujud  chavesz08  aditbandit234  kenikir27  anishectorium  almaghribis  askencana  papa brewook masak pak prabowo belain 1 orang yang berpotensi merugikan bangsa mengabaikan puluhan juta pendukungnya yang cinta bangsa,johnnys2123 gerindra yusufagro prabowo gibran tweet bangsaygsujud chavesz08 aditbandit234 kenikir27 anishectorium almaghribis askencana papa brewook masak pak prabowo bain 1 orang yang potensi rugi bangsa abai puluh juta dukung yang cinta bangsa,johnnys2123 gerindra yusufagro prabowo gibran tweet bangsaygsujud chavesz08 aditbandit234 kenikir27 anishectorium almaghribis askencana papa brewook masak pak prabowo bain 1 orang yang potensi rugi bangsa abai puluh juta dukung yang cinta bangsa,8.0,Positif
#MQZawawi IDM terbukti jadi salah satu kebutuhan mutlak dalam proses pembangunan DESA #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @kemendesapdtt @malik_harammain @imansyukri...., mqzawawi idm terbukti jadi salah satu kebutuhan mutlak dalam proses pembangunan desa  idmkemendesabisa  jokowi  prabowo  gibran tweet  halimiskandarnu  kemendesapdtt  malik harammain  imansyukri    ,mqzawawi idm bukti jadi salah satu butuh mutlak dalam proses bangun desa idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendesapdtt malik harammain imansyukri,mqzawawi idm bukti jadi salah satu butuh mutlak dalam proses bangun desa idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendesapdtt malik harammain imansyukri,-1.0,Negatif
@PartaiSocmed Kata siapa? Ternyata kata orang2 prabowo gibran wkwkwkwk https://t.co/G8yGTDxgNM, partaisocmed kata siapa  ternyata kata orang2 prabowo gibran wkwkwkwk    t co g8ygtdxgnm,partaisocmed kata siapa nyata kata orang2 prabowo gibran wkwkwkwk t co g8ygtdxgnm,partaisocmed kata siapa nyata kata orang2 prabowo gibran wkwkwkwk t co g8ygtdxgnm,3.0,Positif
Wow megeneralisir pendukung Prabowo-Gibran goblok semua??? ,wow megeneralisir pendukung prabowo gibran goblok semua    ,wow megeneralisir dukung prabowo gibran goblok semua,wow megeneralisir dukung prabowo gibran goblok semua,6.0,Positif
Indek Desa Membangun #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/Ang8TJOFsL,indek desa membangun  idmkemendesabisa  jokowi  prabowo  gibran tweet  halimiskandarnu  kemendespdtt  malik haramain  imansyukri  taufikmadjid71  yusradaridesa  azzameldzikrie  tppkemendes    t co ang8tjofsl,indek desa bangun idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co ang8tjofsl,indek desa bangun idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co ang8tjofsl,8.0,Positif
tiap gacha ampas ,tiap gacha ampas ,tiap gacha ampas,tiap gacha ampas,-3.0,Negatif
Dulu gue pengen bgt masuk TNP2K Pas Gibran kepilih gue sangat bersyukur dengan tidak jadi masuk dan tidak jadi daftar wkwkwk Biarkan anak anak UGM saja yg menguasai lembaga itu wkwk,dulu gue pengen bgt masuk tnp2000 pas gibran kepilih gue sangat bersyukur dengan tidak jadi masuk dan tidak jadi daftar wkwkwk biarkan anak anak ugm saja yg menguasai lembaga itu wkwk,dulu gue ken bgt masuk tnp2000 pas gibran pilih gue sangat syukur dengan tidak jadi masuk dan tidak jadi daftar wkwkwk biar anak anak ugm saja yg kuasa lembaga itu wkwk,dulu gue ken bgt masuk tnp2000 pas gibran pilih gue sangat syukur dengan tidak jadi masuk dan tidak jadi daftar wkwkwk biar anak anak ugm saja yg kuasa lembaga itu wkwk,-15.0,Negatif
Indek Desa Membangun #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/ZnopbI3zxO,indek desa membangun  idmkemendesabisa  jokowi  prabowo  gibran tweet  halimiskandarnu  kemendespdtt  malik haramain  imansyukri  taufikmadjid71  yusradaridesa  azzameldzikrie  tppkemendes    t co znopbi3zxo,indek desa bangun idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co znopbi3zxo,indek desa bangun idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co znopbi3zxo,8.0,Positif
@afrkml @tanyakanrl Hak anak mendapatkan bukan kewajiban anak. Ribet dan ga ada point Imunisasi keputusan orangtua untuk anaknya anak belum bisa memutuskan maka peran orangtua yg memiliki keputusan logika hukum begitu. Maka tenaga kesehatan membantu sosialisasi dan menjelaskan. Jangan ribet, afrkml  tanyakanrl hak anak mendapatkan bukan kewajiban anak  ribet dan ga ada point imunisasi keputusan orangtua untuk anaknya anak belum bisa memutuskan maka peran orangtua yg memiliki keputusan logika hukum begitu  maka tenaga kesehatan membantu sosialisasi dan menjelaskan  jangan ribet,afrkml tanyakanrl hak anak dapat bukan wajib anak ribet dan ga ada point imunisasi putus orangtua untuk anak anak belum bisa putus maka peran orangtua yg milik putus logika hukum begitu maka tenaga sehat bantu sosialisasi dan jelas jangan ribet,afrkml tanyakanrl hak anak dapat bukan wajib anak ribet dan ga ada point imunisasi putus orangtua untuk anak anak belum bisa putus maka peran orangtua yg milik putus logika hukum begitu maka tenaga sehat bantu sosialisasi dan jelas jangan ribet,-14.0,Negatif
